animal_id,period_in_animal,day_in_period,time_offset_s,hr_mean,hr_sd,rmssd,pnn50,gyro_mean,angle_sd,dz_sd,active_fraction,frac_rest,weight_kg,hour_of_day,is_fasting_day,hp_kcal_5min
S10,2,1,54030.0,80.52065577245705,31.42681801566925,372.2869820040676,0.8272727272727273,3.165085925093275,0.1942271699585254,0.2309582459542464,0.1168888888888888,0.2994393939393939,247.5,3.8,0,22.8809090814452
S10,2,1,54331.0,75.911610604222,30.59538024457201,437.84201689280206,0.8108108108108109,0.6759180922926309,0.0381166486683013,0.0394300607832698,0.008,0.5328518518518518,247.5,3.883333333333333,0,18.7067544295982
S10,2,1,54636.0,72.29249573606555,28.24464098275195,386.79030801311626,0.8372881355932204,0.4603432421282436,0.0276267013135293,0.0323407648331589,0.0027407407407407,0.5618425925925926,247.5,3.966666666666667,0,16.3332477560044
S10,2,1,54932.0,77.05760771371844,30.74473075423252,368.3230862966013,0.8422712933753943,0.7997018623433667,0.050515295270864,0.056201571337919,0.0077037037037037,0.4317070707070706,247.5,4.05,0,17.0717604903982
S10,2,1,55231.0,78.5521473155043,30.690238541925485,396.5804064121171,0.840625,0.3174942939636695,0.0164557943198284,0.0138390787550046,0.0,0.6007314814814815,247.5,4.133333333333334,0,16.449229125112
S10,2,1,55532.0,72.89939971459904,28.44509606734284,438.74765716373537,0.7966666666666666,0.3555500348982068,0.0176607010115354,0.0152689152047362,0.0,0.6060740740740741,247.5,4.216666666666667,0,15.3893093218336
S10,2,1,55831.0,71.18153969950667,34.443939358968564,489.2474061149879,0.8571428571428571,1.124852048536294,0.0704247367441677,0.068916692547352,0.0185555555555555,0.3704074074074074,247.5,4.3,0,18.8048439795108
S10,2,1,56132.0,70.16916913554046,26.46086530887454,401.06184316239353,0.826530612244898,0.4309174014248932,0.0256168888709987,0.0249715694013343,0.0,0.4739629629629629,247.5,4.383333333333334,0,17.3120999181562
S10,2,1,56432.0,69.03857176020732,33.67813839341238,409.0889311279744,0.8035714285714286,0.3613320667129085,0.0206239779411377,0.0203539246329064,0.0,0.5897407407407407,247.5,4.466666666666667,0,17.0690903449191
S10,2,1,57032.0,75.44178689643314,28.54026537247504,360.24872728551856,0.7925696594427245,0.6914872060615139,0.0350586236688216,0.0395883561063825,0.0055555555555555,0.4967407407407407,247.5,4.633333333333333,0,16.8748711772136
S10,2,1,57333.0,74.65710604848651,29.006653054624547,403.8646397608869,0.8155339805825242,0.7199539723444194,0.0368812262665428,0.0379555825566621,0.0069259259259259,0.4753333333333334,247.5,4.716666666666667,0,17.2193868113818
S10,2,1,57634.0,76.66741816596868,31.228297308805928,441.6781691407686,0.8407643312101911,0.2890167152669076,0.0146142595372537,0.0111718425774499,0.0007407407407407,0.6787037037037037,247.5,4.8,0,16.693970759539
S10,2,1,57933.0,74.81712195770554,31.17274768482501,399.5468885770695,0.8118811881188119,0.529124809154847,0.0263104854739528,0.0268707588616746,0.0034444444444444,0.5307037037037037,247.5,4.883333333333333,0,15.9500588601725
S10,2,1,58233.0,71.70292117024395,30.929748428903302,437.47169493690416,0.8207885304659498,0.3306789418733979,0.0168427387734706,0.0181818073202063,0.0,0.6625925925925926,247.5,4.966666666666667,0,14.7426537410408
S10,2,1,58533.0,72.60561495662512,27.96701539959467,400.7840260368616,0.8289473684210527,0.9457943144893504,0.0561555587175891,0.0659796225525565,0.0112962962962962,0.4258888888888889,247.5,5.05,0,15.8875711823503
S10,2,1,58835.0,67.16627731684733,32.824665519238515,445.66571047164496,0.8392156862745098,0.3216561776257208,0.0161202377349657,0.0160536257235922,0.0003703703703703,0.6942592592592594,247.5,5.133333333333334,0,15.7654253971061
S10,2,1,59135.0,69.46490019612288,30.47635030933209,474.6909218263688,0.8160919540229885,0.4466222794557619,0.0235180641161281,0.0242092540698552,0.0007407407407407,0.5703400673400674,247.5,5.216666666666667,0,15.9918312775214
S10,2,1,59434.0,75.50182896517124,31.42090140994761,434.6457868195664,0.8433333333333334,0.3041821083312497,0.0142879557472506,0.0148474054852111,0.0006666666666666,0.6872592592592592,247.5,5.3,0,14.0414154828738
S10,2,1,59734.0,71.69335854369302,29.853751840692578,395.578451370662,0.8251748251748252,0.3851220175432416,0.0210493987896159,0.0241785311142725,0.0003333333333333,0.6613703703703703,247.5,5.383333333333334,0,14.1410898622794
S10,2,1,60035.0,67.23453534352251,30.600208275066816,468.118934669745,0.8644688644688645,0.7048843854889322,0.0414310824706448,0.0472306649851479,0.0067037037037037,0.4966296296296296,247.5,5.466666666666667,0,14.977674226969
S10,2,1,60334.0,68.89053697525878,30.37355646283349,456.5616841441816,0.8714285714285714,0.5976116526944035,0.0348287817131449,0.0327338750481572,0.0061481481481481,0.5541851851851852,247.5,5.55,0,17.0539394674632
S10,2,1,60634.0,69.5464836584003,30.31793426230857,456.0865789295655,0.8658536585365854,0.4214488559283391,0.0192933264227981,0.0191438985664352,0.001,0.618037037037037,247.5,5.633333333333333,0,15.9104949393324
S10,2,1,60934.0,70.08912831748327,31.84715888992325,425.7930457041717,0.8292682926829268,0.5902785429709687,0.0310048297369883,0.0306056688380658,0.0076296296296296,0.5816296296296297,247.5,5.716666666666667,0,15.4620128568638
S10,2,1,61235.0,76.03909638001302,30.3247232678836,399.0252900490962,0.7993827160493827,0.5050576140869442,0.0270830452206341,0.0273278974461066,0.0029259259259259,0.5568888888888889,247.5,5.8,0,15.9608890774073
S10,2,1,61536.0,69.0727292145129,29.59751480399516,449.3134084728134,0.8513011152416357,1.1244832595506542,0.0677473535025192,0.0659140151354142,0.0225555555555555,0.4082222222222222,247.5,5.883333333333333,0,16.5011502718279
S10,2,1,61835.0,74.80981392506487,29.60977331512605,400.2045832620484,0.8119122257053292,0.3730434406117184,0.0209913158579771,0.0212734641491355,0.0,0.5743333333333334,247.5,5.966666666666667,0,16.9312351773851
S10,2,1,62136.0,72.46764523897615,26.344578427015545,381.6059873326234,0.7807308970099668,0.8424515402463791,0.0475557290525828,0.0443853796942615,0.0117037037037037,0.4177777777777778,247.5,6.05,0,16.2602863679604
S10,2,1,62436.0,75.14788198882333,35.124390641806,435.5737949210418,0.8253424657534246,0.6972102711324596,0.0408500885028994,0.0407724745185542,0.0121111111111111,0.5536666666666666,247.5,6.133333333333334,0,14.9652179627562
S10,2,1,62736.0,75.17525378253693,28.51325475426029,380.3077787801087,0.8283828382838284,0.5945772033438643,0.0330881385724834,0.030688245401034,0.0074074074074074,0.5322962962962963,247.5,6.216666666666667,0,16.974911291783
S10,2,1,63037.0,71.39111569959785,31.04577793052721,399.5769934851451,0.7992700729927007,2.1144692661688262,0.1248895046832148,0.1407272522218038,0.0697037037037037,0.3996296296296296,247.5,6.3,0,16.0862293474892
S10,2,1,63336.0,69.44967925224769,33.03761417445672,438.8887890748945,0.8315412186379928,4.569513739180023,0.2852617693679096,0.3380230191378994,0.1717407407407407,0.1874276094276094,247.5,6.383333333333334,0,23.806123364127
S10,2,1,63637.0,67.37416927744263,32.10188904902545,443.3816610977156,0.862453531598513,1.093553647587967,0.0710504825609206,0.0513669801947111,0.023074074074074,0.3303703703703703,247.5,6.466666666666667,0,17.8603818850904
S10,2,1,63936.0,68.1574189816567,30.51227071804829,449.73231956271417,0.8592592592592593,0.6064700508186555,0.0393827747046922,0.030281578728356,0.0,0.3744444444444444,247.5,6.55,0,14.8176102774554
S10,2,1,64236.0,69.93988443972849,32.53949776965647,474.1224625986793,0.784452296819788,0.5673895315116645,0.0327626359416344,0.0284709492964233,0.0,0.3378148148148148,247.5,6.633333333333333,0,14.7753249891271
S10,2,1,64537.0,69.01409090077925,26.133300699804995,426.7736106986143,0.8485915492957746,0.4166909007361394,0.0215179344293107,0.0150825349717961,0.0,0.4329907407407407,247.5,6.716666666666667,0,15.6187177750427
S10,2,1,64837.0,69.06633697963308,27.61359440938513,396.4219087652749,0.8745519713261649,0.7718436266441887,0.0453431739241902,0.0501559656134504,0.0044074074074074,0.3593703703703703,247.5,6.8,0,14.686566260583
S10,2,1,65138.0,68.03656355355345,29.16107128367995,442.6240989110319,0.8736059479553904,0.9651369497570842,0.0614691953720594,0.0540879344122146,0.0168888888888888,0.3372962962962962,247.5,6.883333333333333,0,14.8425710820049
